employee_id,first_name,last_name,gender,age
E00001,  Laura ,Johnson,Non-Binary,29
E00002,Bob,Jones,Male,38
E00003,Tom,  Johnson ,Malee,47
E00004,  Mike ,Johnson,Female ,42
E00005,  Laura ,  Garcia ,Male ,23
E00006,SAM,  Martinez , Non-Binary,39
E00007,Alice,Rodriguez, Malee  ,38
E00008,Laura,Brown, Female  ,61
E00009,Tom,Garcia,Non-Binary,46
E00010,  Mike ,MILLER,Non-Binary,53
E00011,bob,Garcia,  Non-Binary  ,23
E00012,  Tom ,  Davis , Non-Binary,57
E00013,Tom,Brown,Male,26
E00014,ALICE,  SMITH ,Female,26
E00015,Emily,  Miller , Male  ,45
E00016,Mike,williams,Male,45
E00017,Jane,  Garcia ,Non-Binary,38
E00018,Tom,JOHNSON,  Female  ,28
E00019,Emily,  Rodriguez , Non-Binary  ,39
E00020,  JANE ,Smith, Male  ,61
E00021,  Mike ,Garcia,Male,64
E00022,John,Garcia, Non-binery  ,35
E00023,Sam,Jones,Malee,36
E00024,  Emily ,  Jones , Male,41
E00025,Eve,Smith,Non-Binary ,32
E00026,John,Martinez,Male,31
E00027,  Sam ,Jones, Female  ,29
E00028,Alice,johnson,Non-Binary,20
E00029,Laura,Miller,Femelle,51
E00030,BOB,Williams,Male,49
E00031,  Eve ,  brown ,Male,27
E00032,  Alice ,Williams, Non-Binary   ,40
E00033,Mike,Williams, Malee  ,41
E00034,Alice,Brown, Non-Binary   ,37
E00035,Laura,  Jones ,Non-Binary,21
E00036,Mike,Smith,Non-Binary,63
E00037,Eve,BROWN, Non-Binary  ,28
E00038,  laura ,  Davis ,Male,22
E00039,Jane,  Martinez ,Female ,45
E00040,  Bob ,Miller,Non-Binary ,40
E00041,  Eve ,  Rodriguez ,Female,49
E00042,Jane,jones,Male,47
E00043,  sam ,martinez, Non-Binary,55
E00044,  Eve ,Brown,Male,45
E00045,  Sam ,Davis, Non-Binary  ,53
E00046,Mike,RODRIGUEZ, Female   ,27
E00047,  Jane ,Miller,Femal,29
E00048,Bob,Miller,Female,62
E00049,  LAURA ,Jones,Male,33
E00050,Tom,  Brown ,Non-Binary,59
E00051,Alice,  MARTINEZ ,Male,34
E00052,JOHN,Smith,Female,36
E00053,Bob,Martinez, Male  ,37
E00054,None,  Martinez , Female  ,51
E00055,Tom,MILLER,Female,57
E00056,Bob,Smith,Female,42
E00057,Jane,SMITH,Non-Binary,42
E00058,  Emily ,Jones,Non-Binary,54
E00059,Emily,Rodriguez,Female ,58
E00060,Sam,  GARCIA ,Malee,34
E00061,Bob,WILLIAMS, Male  ,43
E00062,Emily,WILLIAMS, Non-binery  ,47
E00063,Jane,Miller,Female ,35
E00064,Sam,garcia, Male  ,35
E00065,Jane,  rodriguez ,Female,59
E00066,Sam,garcia,Male,58
E00067,Bob,  Jones ,  Non-Binary  ,25
E00068,Tom,Martinez, Female   ,21
E00069,  Laura ,  Miller , Female  ,32
E00070,Eve,Smith, Male  ,63
E00071,Tom,  miller ,Male,42
E00072,Mike,Williams,Male,53
E00073,Jane,Rodriguez,Female,36
E00074,Mike,Garcia, Non-Binary  ,46
E00075,  Tom ,  RODRIGUEZ ,Non-Binary,48
E00076,  Sam ,Jones,Male,56
E00077,  Eve ,miller,Male,62
E00078,Eve,BROWN,Male,41
E00079,John,Miller, Non-binery  ,43
E00080,Eve,Smith,Female,26
E00081,  Laura ,Miller,Male,53
E00082,Eve,DAVIS, Non-Binary  ,31
E00083,Tom,Jones,Female,42
E00084,John,Johnson,Non-Binary,34
E00085,Tom,Jones,Female,52
E00086,Tom,Garcia, Femelle  ,32
E00087,  ALICE ,Johnson,Non-Binary,42
E00088,  JOHN ,Garcia, Non-Binary  ,57
E00089,  Tom ,Garcia,Female,51
E00090,  Alice ,Smith,Femelle,64
E00091,Alice,Smith, Femelle  ,54
E00092,John,Martinez, Male,20
E00093,  mike ,WILLIAMS,Female ,64
E00094,  Sam ,Martinez,Malee,24
